delta,size
5567054,30.132186
11735395,58.159003
5601536,133.93399
21555835,258.457605
8927992,109.326506
8316111,163.251056
10245269,24.557556
14070395,122.275368
25730596,34.709492
7368730,600.007
12940528,165.490454
28348108,25
5848036,134.231342
113372342,21.66837
42011283,53.932957
18418351,206.899696
11755860,73.405162
8095544,54.347821
13679787,54.581875
4727868,265.251218
30204246,78.518861
74463087,342.329306
28988652,47.014905
48042809,97.722487
76577546,14.107
25866638,131.331277
22733029,22.492564
29108817,56.6503
96855807,37.050313
5943745,71.472202
116915805,16.59914
10786977,271.506742
20920507,101.157333
7504245,226.961652
8895626,67.303387
167239203,22.024173
6374949,81.313247
13776510,130.947726
15630695,55.061598
14150089,28.620988
24486200,62.757892
11551384,68.993392
19591915,62.20719
43131576,63.739385
14861772,15.576328
9806852,94.426481
9168815,47.643778
71205992,56.944
33358348,49.305
12174141,30.760229
5864090,383.934363
17394085,106.003043
69807178,100.207832
3892575,175.736
9831699,131.900235
4314754,5475.154905
76527785,26.875791
48910154,32.171791
6909938,45.934326
16677778,39.429996
16145296,35.229452
26395315,47.847
54636365,115.719061
6568926,68.200339
45175886,33.899658
10524006,148.644195
13025955,105.134808
3702946,33.930178
19247273,130.762159
30431958,30.318
7912070,178.966281
73096595,77.092396
4893149,43.14291
34937181,101.21018
36428220,29.668736
41856469,25.371027
58199905,33.368837
15617288,52.191823
4126009,3873.858845
7276119,89.91008
18977468,54.279997
4509649,168.863471
6228108,133.633474
16682788,52.107652
57217878,89.719087
18675901,21.238975
5173620,264.23542
14076103,53.131156
32418080,96.537
4598896,4719.864354
11315997,262.133575
11309933,82.702473
25504496,53.599439
16920280,66.144
51390478,51.507819
3718590,3927.379664
10633961,67.482895
10412083,147.308422
130982121,63.34918
15362398,99.1695
20792237,9.999999
4392501,3299.864775
31062854,47.244478
13370674,261.113
14445402,130.738869
5163843,4037.365404
40022320,99.999999
21501478,449.328874
36792207,36.552
11317496,98.985182
21983836,76.606703
12891334,108.605037
5419227,135.761583
12128993,48.314771
76791665,40.024807
19430752,131.023323
8790034,251.735566
4922341,4249.660255
117621302,24.92919
3881291,7737.460668
29050108,36.365785
34776073,23.823586
7276614,348.611671
20475704,33.718451
25821814,21
4201090,3805.587956
3497945,133.335986
27307602,23
3838943,26.580682
4234410,182.143871
4146418,3631.858634
3766807,4755.592
14952867,58.726277
41401492,88.583045
6677804,107.12432
11873396,263.520101
5454506,39.661
12800047,147.647525
39300030,16.52196
5591994,789.129406
9218455,94.334269
13110050,47.021597
6920374,84.047004
3310955,4757.605359
35216505,51.551
9691980,490.207898
44451191,94.375274
9987257,52.37777
39894077,86.061954
3650310,3987.398002
41984829,58.623424
7070730,136.506617
95556101,65.705434
10551740,137.183281
21594058,260.785008
8935290,60.691815
15814296,186.194514
18831083,33.775748
18569051,92.229574
14487384,147.128203
49893905,26.218524
25964380,78.706572
7900857,45.07188
18963259,114.366021
17984800,30.923
5771421,264.966741
6433381,2237.650855
29761782,33.63884
29214085,90.293427
50492236,55.224399
4397092,3878.289957
15018753,95.515329
33577883,17.497425
8776530,102.209765
30672602,36.800111
36537630,55.113535
38062267,95.703341
35219304,43.939583
9591758,65.104747
34623815,29.48
27179939,36.543543
16419844,123.030164
18214890,158.966619
13670416,123.031384
16638124,263.08898
12408459,147.257049
30445132,57.774524
48086483,18.895174
14117760,40.755553
3838910,399.413287
6546409,148.918
12418150,133.153
8986261,115.835237
8443848,90.189219
11468463,146.212
24764839,19.999999
35676949,102.820129
6912620,90.133192
25201522,55.961
16721008,71.496456
33536256,39.873911
11293719,70.90017
15238937,14.513462
4633433,263.361397
11559200,80.984669
29320522,75.408292
44420811,45.29
23521105,36.083649
28089527,24.119672
13511311,133.022
26645849,19.999999
14564082,37.604759
13867424,76.210047
10185847,59.744006
6754822,40.555
8068210,787.245163
17531632,26.536806
27639206,35
17962026,75.991
5496557,121.218103
33951542,50.453135
10464966,74.392535
11913380,31.715465
12531992,261.798189
15367703,136.917174
3870678,4718.406246
10745774,106.703737
21902347,129.853
32897061,221.551895
24775453,175.14
6795791,5022.050414
3910875,72.984508
30288132,72.924
16656095,49.86021
4604124,3680.285054
5020549,197.126533
21190573,51.907665
27053033,25
